order_id,order_date,shipping_date,scheduled_shipping_days,actual_shipping_days,shipping_mode,carrier_name,customer_id,customer_segment,market,order_region,order_country,category_name,product_name,order_item_quantity,sales,discount,profit,late_delivery
10018,2025-01-10,2025-01-15,1,5,Same Day,SwiftShip Express,2951,Consumer,Africa,East Africa,Tanzania,Apparel,Thermal Work Gloves,1,85.52,0.16,-10.4,1
10019,2025-09-19,2025-09-25,6,6,Standard Class,Atlas Freight Co.,2605,Consumer,Europe,Northern Europe,Norway,Garden & Outdoor,Patio Heater,3,364.13,0.06,114.27,0
10020,2024-08-29,2024-09-01,4,3,Second Class,Atlas Freight Co.,3201,Home Office,USCA,West of USA,United States,Furniture,Standing Desk Pro,2,827.63,0.01,14.03,0
10021,2024-07-29,2024-08-01,4,3,Second Class,Atlas Freight Co.,2156,Consumer,USCA,US Center,United States,Sporting Goods,Insulated Hydration Pack,2,450.95,0.04,63.53,0
10022,2024-07-25,2024-07-25,2,0,First Class,Pacific Crest Carriers,2706,Consumer,USCA,West of USA,United States,Electronics,Smart Fitness Watch,3,935.48,0.08,35.64,0
10023,2025-01-21,2025-01-26,6,5,Standard Class,Atlas Freight Co.,2049,Consumer,USCA,Canada,Canada,Apparel,Merino Base Layer,2,164.73,0.19,35.88,0
10024,2025-07-22,2025-07-26,6,4,Standard Class,Atlas Freight Co.,3180,Corporate,LATAM,Caribbean,Cuba,Furniture,Modular Conference Table,2,989.24,0.18,173.1,0
10025,2024-12-31,2025-01-04,6,4,Standard Class,Atlas Freight Co.,1298,Corporate,Europe,Southern Europe,Greece,Office Supplies,Gel Pen 24-Pack,2,104.76,0.13,6.29,0
10026,2024-08-03,2024-08-09,6,6,Standard Class,NordHaul Logistics,1635,Consumer,Europe,Northern Europe,Sweden,Footwear,Steel-Toe Work Boots,3,332.61,0.01,40.99,0
10027,2025-12-01,2025-12-07,6,6,Standard Class,Atlas Freight Co.,1241,Corporate,Pacific Asia,Eastern Asia,China,Apparel,Performance Rain Jacket,4,270.53,0.03,11.29,0
10028,2025-02-21,2025-02-24,2,3,First Class,SwiftShip Express,2755,Corporate,Pacific Asia,Eastern Asia,Japan,Electronics,Wireless Earbuds Pro,5,1968.58,0.23,252.68,1
10029,2024-10-14,2024-10-14,2,0,First Class,NordHaul Logistics,1581,Corporate,Europe,Southern Europe,Italy,Toys & Games,Strategy Board Game,5,256.08,0.18,12.13,0
10030,2024-01-08,2024-01-08,2,0,First Class,SwiftShip Express,1792,Consumer,USCA,East of USA,United States,Apparel,Trail Running Shorts,1,71.84,0.23,25.42,0
10031,2025-02-14,2025-02-16,1,2,Same Day,SwiftShip Express,3091,Home Office,Europe,Southern Europe,Italy,Office Supplies,Gel Pen 24-Pack,4,159.42,0.13,12.02,1
10032,2025-03-29,2025-04-03,6,5,Standard Class,NordHaul Logistics,1900,Consumer,Europe,Western Europe,United Kingdom,Office Supplies,Heavy-Duty Stapler,5,242.83,0.01,11.3,0
10033,2025-11-08,2025-11-10,4,2,Second Class,SwiftShip Express,1364,Corporate,Europe,Western Europe,Germany,Furniture,Modular Conference Table,1,505.17,0.2,-84.96,0
10034,2024-06-17,2024-06-21,6,4,Standard Class,Atlas Freight Co.,1052,Corporate,USCA,East of USA,United States,Toys & Games,Strategy Board Game,1,59.66,0.25,-3.21,0
10035,2024-04-28,2024-05-03,6,5,Standard Class,Atlas Freight Co.,1566,Corporate,LATAM,South America,Chile,Health & Beauty,Electric Toothbrush,1,33.75,0.13,7.26,0
10036,2025-12-30,2026-01-04,4,5,Second Class,NordHaul Logistics,3286,Home Office,Africa,North Africa,Morocco,Electronics,Portable Bluetooth Speaker,3,1177.85,0.02,110.45,1
10037,2025-02-05,2025-02-09,6,4,Standard Class,NordHaul Logistics,2371,Home Office,Pacific Asia,South Asia,India,Toys & Games,Strategy Board Game,4,193.15,0.16,12.91,0
10038,2024-01-20,2024-01-27,6,7,Standard Class,Pacific Crest Carriers,3487,Corporate,Pacific Asia,Eastern Asia,South Korea,Garden & Outdoor,Solar Path Lights 8-Pack,4,490.87,0.19,116.64,1
10039,2024-03-18,2024-03-26,6,8,Standard Class,Atlas Freight Co.,1537,Consumer,Europe,Eastern Europe,Poland,Garden & Outdoor,Expandable Garden Hose,4,386.88,0.21,127.38,1
10040,2024-12-13,2024-12-17,6,4,Standard Class,Atlas Freight Co.,1878,Corporate,USCA,West of USA,United States,Electronics,Portable Bluetooth Speaker,4,1416.43,0.19,-22.46,0
10041,2025-03-26,2025-03-30,6,4,Standard Class,NordHaul Logistics,1408,Consumer,USCA,East of USA,United States,Office Supplies,Laser Printer Paper 10-Ream,5,261.01,0.24,21.53,0
10042,2024-06-26,2024-07-01,6,5,Standard Class,Pacific Crest Carriers,1995,Consumer,Pacific Asia,Oceania,Australia,Footwear,Court Sneakers,4,478.27,0.1,-102.65,0
10043,2024-09-23,2024-09-29,6,6,Standard Class,Atlas Freight Co.,2408,Home Office,Europe,Western Europe,United Kingdom,Garden & Outdoor,Cordless Hedge Trimmer,3,350.2,0.19,95.49,0
10044,2025-06-21,2025-06-21,1,0,Same Day,NordHaul Logistics,3020,Corporate,Europe,Eastern Europe,Poland,Sporting Goods,Pro Composite Basketball,4,865.38,0.18,498.09,0
10045,2025-12-07,2025-12-14,6,7,Standard Class,NordHaul Logistics,1920,Consumer,Europe,Western Europe,Spain,Toys & Games,Strategy Board Game,1,61.11,0.1,3.88,1
10046,2024-12-24,2024-12-29,6,5,Standard Class,Atlas Freight Co.,2928,Consumer,Europe,Southern Europe,Greece,Footwear,Court Sneakers,1,94.26,0.22,5.61,0
10047,2024-10-30,2024-10-30,1,0,Same Day,Pacific Crest Carriers,2565,Consumer,Pacific Asia,Southeast Asia,Thailand,Toys & Games,Strategy Board Game,3,187.69,0.06,20.06,0
10048,2024-09-20,2024-09-20,1,0,Same Day,NordHaul Logistics,1729,Consumer,Europe,Northern Europe,Sweden,Electronics,Noise-Cancelling Headphones,3,1156.95,0.17,182.97,0
10049,2024-04-09,2024-04-13,1,4,Same Day,SwiftShip Express,3280,Consumer,USCA,US Center,United States,Office Supplies,Whiteboard Marker Set,5,273.7,0.1,45.16,1
10050,2024-02-08,2024-02-12,4,4,Second Class,NordHaul Logistics,2085,Corporate,Europe,Eastern Europe,Poland,Footwear,Trail Running Shoes,2,240.88,0.07,39.65,0
10051,2025-08-31,2025-09-02,1,2,Same Day,SwiftShip Express,1377,Consumer,Pacific Asia,Southeast Asia,Vietnam,Health & Beauty,Electric Toothbrush,2,76.31,0.03,-7.83,1
10052,2024-01-28,2024-02-02,4,5,Second Class,Atlas Freight Co.,3406,Corporate,Africa,West Africa,Ghana,Footwear,Court Sneakers,5,556.29,0.0,61.82,1
10053,2025-08-22,2025-08-26,6,4,Standard Class,NordHaul Logistics,3283,Corporate,Europe,Northern Europe,Denmark,Office Supplies,Gel Pen 24-Pack,4,182.7,0.06,40.64,0
10054,2024-06-29,2024-07-04,6,5,Standard Class,NordHaul Logistics,1123,Consumer,LATAM,Central America,Mexico,Toys & Games,Strategy Board Game,5,319.58,0.18,-22.66,0
10055,2025-05-22,2025-05-26,6,4,Standard Class,SwiftShip Express,3256,Home Office,Pacific Asia,Oceania,Australia,Electronics,Portable Bluetooth Speaker,4,1491.32,0.12,-145.76,0
10056,2025-11-25,2025-11-26,1,1,Same Day,Pacific Crest Carriers,3368,Consumer,Pacific Asia,South Asia,Pakistan,Electronics,Noise-Cancelling Headphones,2,715.09,0.19,22.13,0
10057,2025-06-30,2025-07-04,6,4,Standard Class,Atlas Freight Co.,3072,Consumer,USCA,Canada,Canada,Sporting Goods,Carbon Trekking Poles,2,430.13,0.24,63.53,0
10058,2025-06-16,2025-06-18,2,2,First Class,Pacific Crest Carriers,1637,Corporate,USCA,Canada,Canada,Furniture,Walnut Bookshelf,4,1918.65,0.04,421.19,0
10059,2024-07-12,2024-07-15,4,3,Second Class,Pacific Crest Carriers,2578,Home Office,Pacific Asia,Eastern Asia,China,Sporting Goods,Pro Composite Basketball,1,196.28,0.09,48.07,0
10060,2025-03-12,2025-03-16,6,4,Standard Class,NordHaul Logistics,2345,Corporate,Africa,Southern Africa,Botswana,Automotive Parts,LED Headlight Kit,2,347.29,0.05,-6.35,0
10061,2025-04-13,2025-04-19,6,6,Standard Class,NordHaul Logistics,2550,Consumer,Europe,Eastern Europe,Poland,Apparel,Thermal Work Gloves,4,322.56,0.15,-58.38,0
10062,2024-11-06,2024-11-12,6,6,Standard Class,NordHaul Logistics,2541,Consumer,Europe,Eastern Europe,Czechia,Apparel,Performance Rain Jacket,4,295.44,0.19,109.74,0
10063,2024-01-28,2024-02-03,6,6,Standard Class,NordHaul Logistics,2598,Corporate,Europe,Northern Europe,Norway,Sporting Goods,4-Person Camping Tent,4,747.55,0.05,237.68,0
10064,2025-10-28,2025-11-02,6,5,Standard Class,Pacific Crest Carriers,2285,Home Office,Pacific Asia,Southeast Asia,Thailand,Health & Beauty,Aromatherapy Diffuser,2,73.3,0.2,3.56,0
10065,2024-05-23,2024-05-27,6,4,Standard Class,Atlas Freight Co.,2726,Consumer,Europe,Southern Europe,Portugal,Sporting Goods,Carbon Trekking Poles,1,171.19,0.01,41.46,0
10066,2025-12-11,2025-12-18,6,7,Standard Class,Atlas Freight Co.,2316,Corporate,LATAM,South America,Chile,Office Supplies,Whiteboard Marker Set,4,202.28,0.16,33.4,1
10067,2025-11-11,2025-11-11,2,0,First Class,Pacific Crest Carriers,1041,Home Office,Africa,West Africa,Senegal,Electronics,Noise-Cancelling Headphones,2,548.7,0.21,50.05,0
10068,2024-01-14,2024-01-16,2,2,First Class,NordHaul Logistics,1088,Consumer,Europe,Southern Europe,Greece,Garden & Outdoor,Cordless Hedge Trimmer,1,94.03,0.23,38.35,0
10069,2025-06-23,2025-06-29,6,6,Standard Class,NordHaul Logistics,3395,Home Office,Europe,Northern Europe,Sweden,Health & Beauty,Electric Toothbrush,3,129.78,0.09,2.05,0
10070,2025-04-07,2025-04-12,6,5,Standard Class,Atlas Freight Co.,3273,Home Office,Europe,Western Europe,United Kingdom,Apparel,Trail Running Shorts,4,283.77,0.03,-29.71,0
10071,2024-06-17,2024-06-20,4,3,Second Class,Atlas Freight Co.,2464,Corporate,LATAM,Caribbean,Dominican Republic,Sporting Goods,Insulated Hydration Pack,3,701.48,0.13,100.82,0
10072,2025-08-16,2025-08-20,2,4,First Class,SwiftShip Express,1436,Consumer,LATAM,South America,Argentina,Toys & Games,Building Blocks Mega Set,3,186.86,0.12,5.06,1
10073,2024-03-22,2024-03-24,2,2,First Class,NordHaul Logistics,2953,Home Office,Europe,Northern Europe,Denmark,Automotive Parts,All-Weather Floor Mats,3,475.9,0.16,70.59,0
10074,2024-06-30,2024-07-04,4,4,Second Class,SwiftShip Express,1358,Consumer,Europe,Eastern Europe,Hungary,Apparel,Thermal Work Gloves,4,327.0,0.15,23.89,0
10075,2025-11-23,2025-11-29,2,6,First Class,SwiftShip Express,1943,Consumer,USCA,Canada,Canada,Office Supplies,Heavy-Duty Stapler,5,268.85,0.05,1.88,1
10076,2025-06-26,2025-07-02,6,6,Standard Class,Atlas Freight Co.,1824,Home Office,Europe,Southern Europe,Greece,Garden & Outdoor,Cordless Hedge Trimmer,1,110.48,0.01,9.39,0
10077,2024-03-22,2024-03-25,1,3,Same Day,SwiftShip Express,1030,Corporate,USCA,East of USA,United States,Garden & Outdoor,Cordless Hedge Trimmer,1,116.56,0.24,-14.46,1
10078,2024-04-15,2024-04-20,2,5,First Class,SwiftShip Express,3017,Consumer,USCA,East of USA,United States,Sporting Goods,Insulated Hydration Pack,5,868.79,0.1,-108.87,1
10079,2024-07-06,2024-07-10,2,4,First Class,Atlas Freight Co.,2274,Consumer,USCA,East of USA,United States,Toys & Games,RC Off-Road Buggy,2,114.65,0.14,9.1,1
10080,2024-02-21,2024-03-01,6,9,Standard Class,Atlas Freight Co.,1790,Consumer,Africa,East Africa,Ethiopia,Office Supplies,Heavy-Duty Stapler,4,196.37,0.01,35.88,1
10081,2024-05-13,2024-05-17,4,4,Second Class,Pacific Crest Carriers,2267,Home Office,Pacific Asia,Eastern Asia,Japan,Electronics,Portable Bluetooth Speaker,1,323.17,0.04,-48.0,0
10082,2025-02-21,2025-02-23,4,2,Second Class,NordHaul Logistics,1000,Corporate,LATAM,Central America,Costa Rica,Office Supplies,Whiteboard Marker Set,2,87.12,0.12,16.78,0
10083,2024-01-06,2024-01-14,6,8,Standard Class,Atlas Freight Co.,2092,Consumer,LATAM,Caribbean,Dominican Republic,Health & Beauty,Vitamin C Serum,3,97.79,0.11,4.15,1
10084,2024-07-28,2024-08-03,6,6,Standard Class,Atlas Freight Co.,2298,Corporate,LATAM,Caribbean,Cuba,Footwear,Trail Running Shoes,2,223.81,0.06,40.85,0
10085,2024-08-17,2024-08-25,4,8,Second Class,Atlas Freight Co.,1849,Home Office,USCA,Canada,Canada,Garden & Outdoor,Solar Path Lights 8-Pack,2,200.53,0.2,31.61,1
10086,2025-12-09,2025-12-13,6,4,Standard Class,Pacific Crest Carriers,3075,Corporate,Pacific Asia,Southeast Asia,Malaysia,Apparel,Merino Base Layer,2,181.63,0.23,50.16,0
10087,2025-12-12,2025-12-18,4,6,Second Class,Atlas Freight Co.,1624,Home Office,LATAM,Caribbean,Dominican Republic,Furniture,Standing Desk Pro,4,2085.37,0.07,201.0,1
10088,2025-09-09,2025-09-14,6,5,Standard Class,Atlas Freight Co.,1344,Corporate,LATAM,Caribbean,Cuba,Health & Beauty,Electric Toothbrush,3,114.34,0.17,-16.3,0
10089,2024-09-06,2024-09-10,4,4,Second Class,SwiftShip Express,2318,Corporate,USCA,East of USA,United States,Garden & Outdoor,Expandable Garden Hose,2,224.5,0.04,100.08,0
10090,2025-01-19,2025-01-26,6,7,Standard Class,Pacific Crest Carriers,3218,Home Office,Pacific Asia,Oceania,New Zealand,Toys & Games,Strategy Board Game,1,50.58,0.03,6.88,1
10091,2025-01-03,2025-01-09,6,6,Standard Class,Atlas Freight Co.,1938,Home Office,LATAM,South America,Argentina,Furniture,Standing Desk Pro,2,886.0,0.04,127.86,0
10092,2025-09-19,2025-09-24,6,5,Standard Class,Atlas Freight Co.,1116,Corporate,USCA,US Center,United States,Electronics,Wireless Earbuds Pro,4,1278.59,0.04,125.56,0
10093,2025-06-28,2025-07-05,6,7,Standard Class,Atlas Freight Co.,3424,Home Office,USCA,US Center,United States,Sporting Goods,Pro Composite Basketball,5,776.05,0.12,267.34,1
10094,2025-10-23,2025-10-27,2,4,First Class,SwiftShip Express,2110,Consumer,Europe,Western Europe,Netherlands,Health & Beauty,Vitamin C Serum,4,188.82,0.05,-14.3,1
10095,2025-02-06,2025-02-13,6,7,Standard Class,Atlas Freight Co.,1432,Corporate,Europe,Northern Europe,Sweden,Furniture,Walnut Bookshelf,5,2345.48,0.06,-237.23,1
10096,2025-11-02,2025-11-02,2,0,First Class,SwiftShip Express,2539,Consumer,Pacific Asia,Eastern Asia,China,Toys & Games,RC Off-Road Buggy,2,108.62,0.06,0.89,0
10097,2025-06-26,2025-06-26,2,0,First Class,SwiftShip Express,1799,Corporate,Europe,Southern Europe,Portugal,Automotive Parts,Ceramic Brake Pad Set,4,663.24,0.16,121.23,0
10098,2025-06-23,2025-06-27,6,4,Standard Class,Atlas Freight Co.,3344,Corporate,Africa,Southern Africa,South Africa,Health & Beauty,Digital Body Scale,1,41.41,0.23,0.18,0
10099,2025-04-27,2025-05-03,6,6,Standard Class,Atlas Freight Co.,1734,Consumer,USCA,Canada,Canada,Automotive Parts,Ceramic Brake Pad Set,5,873.68,0.07,-1.94,0
10100,2024-09-02,2024-09-09,6,7,Standard Class,SwiftShip Express,2375,Consumer,Pacific Asia,Oceania,New Zealand,Garden & Outdoor,Cordless Hedge Trimmer,5,549.26,0.06,-32.03,1
10101,2025-03-20,2025-03-24,6,4,Standard Class,Pacific Crest Carriers,2358,Corporate,Pacific Asia,Oceania,New Zealand,Electronics,Smart Fitness Watch,3,1202.42,0.03,308.9,0
10102,2024-09-17,2024-09-21,6,4,Standard Class,Atlas Freight Co.,1606,Home Office,Africa,Southern Africa,Botswana,Automotive Parts,LED Headlight Kit,4,657.78,0.25,116.57,0
10103,2025-04-19,2025-04-25,6,6,Standard Class,Atlas Freight Co.,2248,Home Office,LATAM,Central America,Mexico,Health & Beauty,Digital Body Scale,2,91.3,0.21,22.58,0
10104,2024-07-04,2024-07-09,6,5,Standard Class,NordHaul Logistics,1272,Consumer,LATAM,Central America,Panama,Toys & Games,Building Blocks Mega Set,4,229.57,0.09,7.73,0
10105,2025-08-06,2025-08-13,6,7,Standard Class,Atlas Freight Co.,2609,Consumer,USCA,East of USA,United States,Furniture,Modular Conference Table,2,807.46,0.01,87.42,1
10106,2025-02-21,2025-02-24,2,3,First Class,SwiftShip Express,2895,Consumer,LATAM,Central America,Panama,Sporting Goods,Pro Composite Basketball,4,768.41,0.13,184.66,1
10107,2025-06-02,2025-06-06,6,4,Standard Class,Atlas Freight Co.,3375,Consumer,Pacific Asia,Eastern Asia,Japan,Furniture,Modular Conference Table,3,1476.57,0.05,-14.15,0
10108,2024-06-10,2024-06-17,6,7,Standard Class,Pacific Crest Carriers,1814,Consumer,Pacific Asia,South Asia,India,Garden & Outdoor,Cordless Hedge Trimmer,2,182.95,0.0,51.33,1
10109,2025-07-31,2025-08-06,6,6,Standard Class,Atlas Freight Co.,1713,Home Office,Europe,Eastern Europe,Romania,Garden & Outdoor,Solar Path Lights 8-Pack,4,362.31,0.1,68.49,0
10110,2025-08-08,2025-08-13,1,5,Same Day,SwiftShip Express,2372,Consumer,Europe,Southern Europe,Portugal,Footwear,Trail Running Shoes,5,558.94,0.17,182.46,1
10111,2024-04-16,2024-04-20,4,4,Second Class,Atlas Freight Co.,2731,Consumer,USCA,West of USA,United States,Furniture,Modular Conference Table,1,467.51,0.2,126.28,0
10112,2024-09-12,2024-09-17,4,5,Second Class,NordHaul Logistics,3481,Consumer,LATAM,Caribbean,Dominican Republic,Furniture,Standing Desk Pro,3,1524.85,0.06,-216.38,1
10113,2025-05-09,2025-05-14,4,5,Second Class,Atlas Freight Co.,1062,Corporate,LATAM,Caribbean,Cuba,Automotive Parts,OBD-II Diagnostic Scanner,4,549.54,0.12,15.57,1
10114,2025-09-29,2025-10-04,6,5,Standard Class,NordHaul Logistics,1595,Consumer,Europe,Eastern Europe,Poland,Office Supplies,Laser Printer Paper 10-Ream,2,79.3,0.18,-20.15,0
10115,2025-06-22,2025-06-24,1,2,Same Day,SwiftShip Express,1655,Consumer,LATAM,South America,Peru,Automotive Parts,LED Headlight Kit,2,279.96,0.25,-53.89,1
10116,2024-12-10,2024-12-15,4,5,Second Class,Pacific Crest Carriers,1638,Corporate,Pacific Asia,Eastern Asia,Japan,Footwear,Court Sneakers,3,313.56,0.23,-11.91,1
10117,2024-08-06,2024-08-10,6,4,Standard Class,SwiftShip Express,2159,Corporate,Africa,West Africa,Senegal,Electronics,Wireless Earbuds Pro,2,722.09,0.08,240.91,0
10118,2025-10-26,2025-10-30,4,4,Second Class,Atlas Freight Co.,3182,Home Office,USCA,East of USA,United States,Apparel,Merino Base Layer,5,382.38,0.1,44.57,0
10119,2025-09-30,2025-10-03,2,3,First Class,SwiftShip Express,1077,Corporate,Pacific Asia,Eastern Asia,China,Toys & Games,Strategy Board Game,4,244.76,0.23,46.65,1
10120,2025-10-16,2025-10-21,6,5,Standard Class,NordHaul Logistics,3039,Corporate,Europe,Western Europe,Spain,Footwear,Court Sneakers,4,445.41,0.14,17.45,0
10121,2024-08-10,2024-08-14,6,4,Standard Class,Atlas Freight Co.,2544,Consumer,Africa,East Africa,Ethiopia,Automotive Parts,LED Headlight Kit,5,775.79,0.0,52.14,0
10122,2024-11-14,2024-11-19,6,5,Standard Class,NordHaul Logistics,2537,Corporate,USCA,East of USA,United States,Health & Beauty,Aromatherapy Diffuser,4,129.45,0.18,29.31,0
10123,2024-06-26,2024-07-01,6,5,Standard Class,Atlas Freight Co.,2695,Corporate,USCA,US Center,United States,Toys & Games,1000-Piece Jigsaw Puzzle,3,184.38,0.12,16.9,0
10124,2025-11-27,2025-12-03,6,6,Standard Class,Atlas Freight Co.,1288,Corporate,Europe,Western Europe,France,Toys & Games,Strategy Board Game,2,95.98,0.19,8.14,0
10125,2025-09-24,2025-09-27,2,3,First Class,SwiftShip Express,2866,Home Office,LATAM,Caribbean,Dominican Republic,Garden & Outdoor,Cordless Hedge Trimmer,2,226.95,0.23,45.91,1
10126,2024-05-06,2024-05-11,6,5,Standard Class,Atlas Freight Co.,1620,Corporate,LATAM,Central America,Costa Rica,Office Supplies,Heavy-Duty Stapler,2,113.34,0.09,-5.94,0
10127,2024-06-29,2024-07-05,6,6,Standard Class,NordHaul Logistics,2291,Corporate,Europe,Southern Europe,Greece,Garden & Outdoor,Expandable Garden Hose,1,103.46,0.12,15.37,0
10128,2025-02-06,2025-02-12,6,6,Standard Class,Atlas Freight Co.,2692,Consumer,LATAM,Caribbean,Jamaica,Office Supplies,Laser Printer Paper 10-Ream,5,193.71,0.11,30.29,0
10129,2024-10-30,2024-11-03,4,4,Second Class,Atlas Freight Co.,2509,Corporate,USCA,US Center,United States,Garden & Outdoor,Solar Path Lights 8-Pack,5,469.32,0.1,-77.11,0
10130,2024-12-01,2024-12-01,2,0,First Class,NordHaul Logistics,1807,Consumer,LATAM,South America,Colombia,Garden & Outdoor,Patio Heater,4,341.08,0.12,-19.67,0
10131,2024-09-25,2024-09-25,1,0,Same Day,SwiftShip Express,1990,Corporate,Europe,Eastern Europe,Poland,Health & Beauty,Electric Toothbrush,2,67.03,0.16,0.96,0
10132,2025-05-06,2025-05-10,6,4,Standard Class,Atlas Freight Co.,2191,Consumer,USCA,Canada,Canada,Sporting Goods,Insulated Hydration Pack,5,1024.08,0.0,42.01,0
10133,2025-10-17,2025-10-25,6,8,Standard Class,Pacific Crest Carriers,1103,Home Office,Africa,Southern Africa,South Africa,Office Supplies,Whiteboard Marker Set,4,207.02,0.22,40.91,1
10134,2025-10-31,2025-11-03,2,3,First Class,SwiftShip Express,2815,Corporate,Europe,Southern Europe,Portugal,Automotive Parts,OBD-II Diagnostic Scanner,5,791.01,0.22,-22.16,1
10135,2024-11-28,2024-12-04,6,6,Standard Class,NordHaul Logistics,1249,Consumer,Europe,Northern Europe,Norway,Sporting Goods,4-Person Camping Tent,4,661.16,0.05,-20.34,0
10136,2025-08-27,2025-08-31,6,4,Standard Class,Atlas Freight Co.,2146,Corporate,USCA,East of USA,United States,Garden & Outdoor,Cordless Hedge Trimmer,2,176.78,0.03,39.01,0
10137,2025-05-21,2025-05-29,6,8,Standard Class,Atlas Freight Co.,2637,Home Office,Africa,East Africa,Ethiopia,Toys & Games,1000-Piece Jigsaw Puzzle,3,162.6,0.18,44.19,1
10138,2024-05-23,2024-05-26,4,3,Second Class,Atlas Freight Co.,1200,Corporate,Pacific Asia,Oceania,New Zealand,Office Supplies,Gel Pen 24-Pack,3,139.59,0.24,38.71,0
10139,2025-08-02,2025-08-08,6,6,Standard Class,Atlas Freight Co.,3488,Consumer,Europe,Western Europe,Spain,Sporting Goods,4-Person Camping Tent,3,514.8,0.04,-31.32,0
10140,2024-09-12,2024-09-18,6,6,Standard Class,Pacific Crest Carriers,1943,Consumer,Pacific Asia,South Asia,India,Furniture,Ergonomic Office Chair,3,1688.26,0.21,-47.47,0
10141,2025-04-03,2025-04-09,6,6,Standard Class,Atlas Freight Co.,1039,Corporate,USCA,West of USA,United States,Furniture,Walnut Bookshelf,4,1551.82,0.24,-239.57,0
10142,2025-06-10,2025-06-14,6,4,Standard Class,Atlas Freight Co.,2646,Consumer,LATAM,South America,Chile,Health & Beauty,Digital Body Scale,2,81.13,0.2,-24.11,0
10143,2025-11-19,2025-11-24,6,5,Standard Class,NordHaul Logistics,2393,Consumer,Europe,Western Europe,France,Furniture,Standing Desk Pro,2,1149.36,0.14,-92.65,0
10144,2025-11-23,2025-11-24,2,1,First Class,SwiftShip Express,2600,Home Office,USCA,East of USA,United States,Sporting Goods,Carbon Trekking Poles,3,698.77,0.23,9.63,0
